iter	Passed	Remaining
0	1	101
1	1	87
2	3	101
3	4	105
4	5	111
5	7	115
6	8	117
7	10	119
8	11	119
9	13	120
10	14	120
11	16	118
12	17	114
13	18	113
14	20	113
15	21	112
16	22	111
17	24	110
18	25	109
19	27	108
20	28	106
21	29	104
22	30	102
23	31	100
24	33	99
25	34	97
26	35	95
27	36	94
28	37	92
29	38	89
30	39	87
31	40	86
32	41	83
33	42	82
34	43	80
35	44	79
36	45	77
37	46	76
38	47	74
39	48	72
40	49	71
41	49	69
42	50	67
43	52	66
44	53	65
45	54	64
46	55	62
47	56	61
48	57	59
49	58	58
50	59	57
51	60	55
52	61	54
53	62	53
54	63	51
55	64	50
56	65	49
57	66	47
58	67	46
59	68	45
60	69	44
61	70	42
62	71	41
63	71	40
64	72	39
65	73	37
66	74	36
67	75	35
68	76	34
69	77	33
70	78	32
71	79	30
72	80	29
73	81	28
74	82	27
75	83	26
76	84	25
77	85	24
78	86	22
79	86	21
80	87	20
81	88	19
82	89	18
83	90	17
84	90	16
85	91	14
86	92	13
87	93	12
88	93	11
89	94	10
90	95	9
91	96	8
92	97	7
93	98	6
94	99	5
95	100	4
96	100	3
97	101	2
98	102	1
99	103	0
