iter	Passed	Remaining
0	2	2041
1	3	1981
2	5	1892
3	7	1866
4	9	1818
5	10	1757
6	12	1718
7	13	1670
8	14	1628
9	15	1583
10	17	1573
11	19	1581
12	20	1573
13	22	1558
14	23	1551
15	24	1533
16	26	1526
17	27	1509
18	29	1502
19	30	1484
20	31	1480
21	33	1479
22	35	1499
23	36	1485
24	37	1477
25	39	1464
26	40	1455
27	41	1443
28	42	1435
29	44	1433
30	45	1425
31	46	1419
32	49	1452
33	51	1450
34	52	1452
35	54	1450
36	55	1443
37	56	1433
38	58	1429
39	59	1423
40	60	1414
41	62	1420
42	63	1422
43	65	1421
44	66	1413
45	67	1404
46	69	1401
47	70	1393
48	71	1391
49	72	1386
50	74	1381
51	76	1388
52	77	1390
53	79	1387
54	80	1385
55	82	1382
56	83	1375
57	84	1370
58	85	1365
59	87	1364
60	88	1362
61	90	1371
62	91	1367
63	93	1368
64	95	1368
65	96	1370
66	98	1367
67	99	1367
68	101	1369
69	103	1372
70	105	1374
71	106	1372
72	107	1371
73	110	1379
74	111	1378
75	113	1375
76	114	1372
77	116	1378
78	118	1380
79	119	1377
80	121	1377
81	122	1376
82	123	1368
83	125	1373
84	127	1371
85	128	1364
86	129	1362
87	131	1362
88	132	1360
89	134	1357
90	135	1356
91	137	1356
92	139	1358
93	140	1358
94	142	1354
95	143	1352
96	145	1353
97	146	1351
98	148	1349
99	149	1346
100	150	1342
101	152	1346
102	155	1350
103	156	1346
104	157	1342
105	158	1339
106	160	1337
107	161	1336
108	163	1333
109	164	1329
110	165	1324
111	167	1326
112	168	1325
113	170	1325
114	172	1324
115	173	1322
116	174	1317
117	175	1313
118	176	1309
119	177	1304
120	178	1300
121	179	1294
122	181	1292
123	182	1291
124	184	1289
125	185	1288
126	187	1286
127	188	1283
128	189	1282
129	191	1279
130	192	1276
131	193	1273
132	195	1272
133	196	1271
134	198	1269
135	199	1267
136	200	1264
137	201	1260
138	202	1256
139	203	1253
140	205	1249
141	205	1243
142	206	1240
143	209	1246
144	211	1245
145	212	1243
146	214	1242
147	215	1240
148	216	1236
149	217	1233
150	218	1230
151	219	1226
152	221	1223
153	222	1222
154	223	1219
155	225	1218
156	226	1218
157	228	1216
158	229	1214
159	230	1210
160	231	1205
161	232	1202
162	233	1198
163	234	1195
164	235	1194
165	237	1193
166	238	1190
167	239	1187
168	241	1185
169	242	1185
170	244	1184
171	245	1183
172	247	1180
173	248	1178
174	249	1176
175	251	1175
176	252	1172
177	253	1170
178	254	1167
179	256	1166
180	257	1165
181	259	1164
182	260	1162
183	261	1159
184	262	1156
185	263	1152
186	265	1152
187	266	1150
188	267	1148
189	268	1145
190	269	1142
191	271	1140
192	272	1139
193	273	1137
194	275	1135
195	276	1132
196	277	1130
197	278	1129
198	280	1127
199	281	1124
200	282	1122
201	283	1120
202	284	1118
203	285	1115
204	287	1114
205	288	1111
206	289	1109
207	290	1107
208	292	1105
209	293	1104
210	294	1102
211	296	1101
212	297	1099
213	298	1097
214	299	1094
215	301	1093
216	302	1092
217	304	1091
218	305	1090
219	307	1089
220	308	1088
221	310	1086
222	311	1085
223	312	1083
224	314	1081
225	315	1081
226	317	1081
227	319	1081
228	320	1078
229	321	1076
230	322	1073
231	323	1071
232	324	1069
233	326	1067
234	327	1065
235	328	1063
236	330	1063
237	331	1062
238	333	1061
239	334	1060
240	336	1058
241	337	1057
242	338	1055
243	339	1053
244	341	1051
245	342	1049
246	343	1048
247	345	1047
248	346	1046
249	348	1045
250	349	1042
251	350	1040
252	351	1038
253	352	1036
254	353	1033
255	354	1031
256	355	1028
257	357	1026
258	358	1025
259	359	1024
260	361	1023
261	362	1021
262	363	1019
263	364	1017
264	365	1014
265	367	1013
266	368	1011
267	369	1008
268	370	1006
269	371	1005
270	373	1003
271	374	1001
272	375	1000
273	377	999
274	378	997
275	379	995
276	380	993
277	381	991
278	382	989
279	384	987
280	385	986
281	386	984
282	387	982
283	388	980
284	390	978
285	391	977
286	392	976
287	394	974
288	395	973
289	396	971
290	397	969
291	399	967
292	400	966
293	401	964
294	402	962
295	403	960
296	405	958
297	406	957
298	407	956
299	409	954
300	410	952
301	411	950
302	412	949
303	414	948
304	415	946
305	416	944
306	417	942
307	418	940
308	419	938
309	421	937
310	422	936
311	423	934
312	424	932
313	425	930
314	427	929
315	428	927
316	429	925
317	430	923
318	431	921
319	432	919
320	433	917
321	435	916
322	436	915
323	438	914
324	439	913
325	441	911
326	442	910
327	443	908
328	444	906
329	445	904
330	446	903
331	448	901
332	449	899
333	451	899
334	452	898
335	453	896
336	454	895
337	456	893
338	457	891
339	458	889
340	459	887
341	460	886
342	461	884
343	462	882
344	464	882
345	466	881
346	467	880
347	468	878
348	470	876
349	471	875
350	472	873
351	473	871
352	474	869
353	475	867
354	476	865
355	477	864
356	479	863
357	480	862
358	482	861
359	483	859
360	484	857
361	485	856
362	486	854
363	488	852
364	489	850
365	490	849
366	491	848
367	493	846
368	494	845
369	495	844
370	497	843
371	498	841
372	499	839
373	500	838
374	501	836
375	502	834
376	504	833
377	505	831
378	506	830
379	507	828
380	508	826
381	510	825
382	511	823
383	512	822
384	513	820
385	515	819
386	516	817
387	517	815
388	518	814
389	519	812
390	520	811
391	522	810
392	523	808
393	525	807
394	527	807
395	528	806
396	529	804
397	530	802
398	531	801
399	533	800
400	535	799
401	536	797
402	537	796
403	538	794
404	540	793
405	541	792
406	543	791
407	544	789
408	545	788
409	546	786
410	547	785
411	549	783
412	550	781
413	551	780
414	552	778
415	553	776
416	554	775
417	556	774
418	557	772
419	558	771
420	559	769
421	561	768
422	562	767
423	563	765
424	565	764
425	566	763
426	567	761
427	568	759
428	570	758
429	571	757
430	572	756
431	574	754
432	575	753
433	576	752
434	577	750
435	578	748
436	580	747
437	581	745
438	582	743
439	583	742
440	584	740
441	586	739
442	587	738
443	588	737
444	590	736
445	591	734
446	592	732
447	593	731
448	594	729
449	595	728
450	596	726
451	597	724
452	598	723
453	600	722
454	602	721
455	603	720
456	605	718
457	606	717
458	607	716
459	608	714
460	609	713
461	610	711
462	612	709
463	613	708
464	614	707
465	616	706
466	617	705
467	618	703
468	620	701
469	621	700
470	622	698
471	623	697
472	624	695
473	625	694
474	626	692
475	628	691
476	629	690
477	631	689
478	632	688
479	634	687
480	635	685
481	636	684
482	637	682
483	638	681
484	639	679
485	641	678
486	642	676
487	643	674
488	645	674
489	646	673
490	647	671
491	649	670
492	650	668
493	651	667
494	652	665
495	653	664
496	654	662
497	655	661
498	657	659
499	658	658
500	660	657
501	661	656
502	662	655
503	663	653
504	664	651
505	666	650
506	667	648
507	668	647
508	669	645
509	670	644
510	671	642
511	672	641
512	674	640
513	676	639
514	677	637
515	678	636
516	679	635
517	681	633
518	682	632
519	683	630
520	684	629
521	685	627
522	686	626
523	688	625
524	689	623
525	691	623
526	692	621
527	694	620
528	695	619
529	697	618
530	698	616
531	699	615
532	700	614
533	702	612
534	703	611
535	704	609
536	705	608
537	707	607
538	708	605
539	709	604
540	710	603
541	712	601
542	713	600
543	714	599
544	716	597
545	717	596
546	718	594
547	719	593
548	721	592
549	722	591
550	724	590
551	725	588
552	726	587
553	727	586
554	729	584
555	730	583
556	731	581
557	732	580
558	734	579
559	735	578
560	737	577
561	738	575
562	739	574
563	741	572
564	742	571
565	743	570
566	744	568
567	746	567
568	747	566
569	748	564
570	749	563
571	751	562
572	752	561
573	753	559
574	755	558
575	756	556
576	757	555
577	759	554
578	760	552
579	761	551
580	762	549
581	763	548
582	764	546
583	766	545
584	767	544
585	768	543
586	770	541
587	771	540
588	772	539
589	773	537
590	774	536
591	775	534
592	776	533
593	777	531
594	779	530
595	780	529
596	782	528
597	783	526
598	784	525
599	785	523
600	786	522
601	788	521
602	789	519
603	790	518
604	791	516
605	792	515
606	793	514
607	795	512
